Exercício: 2018
Período: 6o. bimestre
Escopo: Estados/DF
Anexo 01 - Balanço Orçamentário
Tabela: Despesas Orçamentárias
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"DESPESAS (EXCETO INTRA-ORÇAMENTÁRIAS) (VIII)";"siconfi-cor_DespesasExcetoIntraOrcamentarias";18335422655,57
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"DESPESAS CORRENTES";"siconfi-cor_DespesasCorrentes";15607185679,35
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"PESSOAL E ENCARGOS SOCIAIS";"siconfi-cor_PessoalEEncargosSociais";11105823488,00
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"JUROS E ENCARGOS DA DÍVIDA";"siconfi-cor_JurosEEncargosDaDivida";386871029,18
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"OUTRAS DESPESAS CORRENTES";"siconfi-cor_OutrasDespesasCorrentes";4114491162,17
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"Transferências a Municípios";"siconfi-cor_TransferenciasAMunicipios";84693500,92
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"Demais Despesas Correntes";"siconfi-cor_DemaisDespesasCorrentes";4029797661,25
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"DESPESAS DE CAPITAL";"siconfi-cor_DespesasDeCapital";2573140746,85
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"INVESTIMENTOS";"siconfi-cor_Investimentos";2316228420,16
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"INVERSÕES FINANCEIRAS";"siconfi-cor_InversoesFinanceiras";7381157,99
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"AMORTIZAÇÃO DA DÍVIDA";"siconfi-cor_AmortizacaoDaDivida";249531168,7
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"RESERVA DE CONTINGÊNCIA";"siconfi-cor_ReservaDeContingencia";155096229,37
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"DESPESAS (INTRA-ORÇAMENTÁRIAS) (IX)";"siconfi-cor_DespesasIntraOrcamentariasTotal";1998980414,99
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"SUBTOTAL DAS DESPESAS (X) = (VIII + IX)";"siconfi-cor_SubtotalDasDespesas";20334403070,56
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"AMORTIZAÇÃO DA DÍVIDA/REFINANCIAMENTO (XI)";"siconfi-cor_AmortizacaoRefinanciamentoDaDivida";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"Amortização da Dívida Interna";"siconfi-cor_AmortizacaoRefinanciamentoDaDividaInterna";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"Dívida Mobiliária";"siconfi-cor_AmortizacaoRefinanciamentoDaDividaInternaMobiliaria";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"Outras Dívidas";"siconfi-cor_AmortizacaoRefinanciamentoDaDividaInternaOutrasDividas";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"Amortização da Dívida Externa";"siconfi-cor_AmortizacaoRefinanciamentoDaDividaExterna";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"Dívida Mobiliária";"siconfi-cor_AmortizacaoRefinanciamentoDaDividaExternaMobiliaria";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"Outras Dívidas";"siconfi-cor_AmortizacaoRefinanciamentoDaDividaExternaOutrasDividas";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"SUBTOTAL COM REFINANCIAMENTO (XII) = (X + XI)";"siconfi-cor_SubtotalDespesasComRefinanciamento";20334403070,56
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"TOTAL (XIV) = (XII + XIII)";"siconfi-cor_TotalDespesas";20334403070,56
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO INICIAL (d)";"RESERVA DO RPPS";"siconfi-cor_ReservaDoRPPS";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO ATUALIZADA (e)";"DESPESAS (EXCETO INTRA-ORÇAMENTÁRIAS) (VIII)";"siconfi-cor_DespesasExcetoIntraOrcamentarias";19239356406,99
Governo do Estado do Mato Grosso;51;MT;3305531;"DOTAÇÃO ATUALIZADA (e)";"DESPESAS CORRENTES";"siconfi-cor_DespesasCorrentes";16690293343,62
