Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"DÍVIDA CONSOLIDADA - DC (I)";"siconfi-cor_DividaConsolidada";8403200085,9
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"Dívida Contratual";"siconfi-cor_DividaContratual";8321168322,57
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"Reestruturação da Dívida de Estados e Municípios";"siconfi-cor_RGF2ReestruturacaoDaDividaDeEstadosEMunicipios";1645745543,41
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"Financiamentos";"siconfi-cor_RGF2Financiamentos";6461371090,22
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"Internos";"siconfi-cor_RGF2FinanciamentosInternos";3570009380,87
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"Externos";"siconfi-cor_RGF2FinanciamentosExternos";2891361709,35
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"Parcelamento e Renegociação de Dívidas";"siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividas";214051688,94
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"De Tributos";"siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividasDeTributos";167350405,85
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"De Contribuições Previdenciárias";"siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividasDeContribuicoesSociaisPrevidenciarias";15028689,48
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"Com Instituição Não Financeira";"siconfi-cor_RGF2ParcelamentoDeDividasComInstituicaoNaoFinanceira";31672593,61
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"Outras Dívidas";"siconfi-cor_OutrasDividas";82031763,33
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"DEDUÇÕES (II)";"siconfi-cor_DeducoesDaDividaConsolidada";10967849483,64
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"Disponibilidade de Caixa";"siconfi-cor_RGF2DisponibilidadeDeCaixa";8972637258,18
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"Disponibilidade de Caixa Bruta";"siconfi-cor_DisponibilidadeDeCaixaBrutaAnexo02";10118955583,04
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"(-) Restos a Pagar Processados";"siconfi-cor_RestosAPagarProcessadosExcetoPrecatorios";410531593,73
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"(-) Depósitos Restituíveis e Valores Vinculados";"siconfi-cor_DepositosRestituiveisEValoresVinculados";735786731,13
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"Demais Haveres Financeiros";"siconfi-cor_DemaisHaveresFinanceiros";1995212225,46
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II)";"siconfi-cor_DividaConsolidadaLiquida";-2564649397,74
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"RECEITA CORRENTE LÍQUIDA - RCL (IV)";"siconfi-cor_RGF2ReceitaCorrenteLiquida";26359045239,21
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"(-) Transferências Obrigatórias da União Relativas às Emendas Individuais (art. 166-A, § 1º, da CF) (V)";"siconfi-cor_TransferenciasObrigatoriasDaUniaoRelativasAsEmendasIndividuais";71974686,29
Governo do Estado do Espírito Santo;32;ES;Executivo;3975100;"SALDO DO EXERCÍCIO ANTERIOR";"RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (VI) = (IV - V)";"siconfi-cor_ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDeEndividamento";26287070552,92
