Exercício: 2022
Período: 6o. bimestre
Escopo: Estados/DF
Anexo 06 - Demonstrativo do Resultado Primário e Nominal
Tabela: Meta Fiscal para o Resultado Primário
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Espírito Santo;32;ES;4108508;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";-1144333000,00
Governo do Estado de Goiás;52;GO;7206589;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";143565022,69
Governo do Estado de Sergipe;28;SE;2338474;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";-43280000,00
Governo do Estado de Santa Catarina;42;SC;7338473;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";1472684000,00
Governo do Estado de Rondônia;11;RO;1815278;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";374242847,00
Governo do Estado do Mato Grosso do Sul;50;MS;2839188;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";315499518,76
Governo do Estado da Bahia;29;BA;14985284;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";-60282000,00
Governo do Estado do Mato Grosso;51;MT;3567234;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";1503382558,85
Governo do Estado do Acre;12;AC;906876;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";329174000,00
Governo do Estado do Rio Grande do Sul;43;RS;11466630;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";1601860000,00
Governo do Estado do Amapá;16;AP;877613;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";-263008988,11
Governo do Estado do Paraná;41;PR;11597484;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";-4590620606,00
Governo do Estado da Paraíba;25;PB;4059905;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";272000000,00
Governo do Estado de São Paulo;35;SP;46649132;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";13302000000,00
Governo do Estado do Tocantins;17;TO;1607363;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";-204616948,00
Governo do Estado do Maranhão;21;MA;7153262;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";-382442000,00
Governo do Estado de Minas Gerais;31;MG;21411923;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";-7177462294,05
Governo do Estado do Piauí;22;PI;3289290;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";-955135000,00
Governo do Estado do Amazonas;13;AM;4269995;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";662729000,00
Governo do Estado de Roraima;14;RR;652713;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";223999837,00
Governo do Estado do Rio de Janeiro;33;RJ;17463349;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";-12819248000,00
Governo do Estado do Ceará;23;CE;9240580;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";-1435259000,00
Governo do Estado do Rio Grande do Norte;24;RN;3560903;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";-123580000,00
Governo do Estado de Pernambuco;26;PE;9674793;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";439639100,00
Governo do Estado do Pará;15;PA;8777124;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";8118000,00
Governo do Estado de Alagoas;27;AL;3365351;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";-2529440000,00
