Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"RECEITAS CORRENTES (I)";"siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB";1508430345,22
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB";910986803,7
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"ICMS";"siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB";805943833,48
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"IPVA";"siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB";68233723,68
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"ITCD";"siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB";3636485,66
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"IRRF";"siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB";20516439,64
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Outros Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_OutrasReceitasTributarias";12656321,24
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Contribuições";"siconfi-cor_RREO3ReceitaDeContribuicoes";119149435,27
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Receita Patrimonial";"siconfi-cor_RREO3ReceitaPatrimonial";9239112,66
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Rendimentos de Aplicação Financeira";"siconfi-cor_RendimentosDeAplicacaoFinanceira";7899066,81
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Outras Receitas Patrimoniais";"siconfi-cor_OutrasReceitasPatrimoniais";1340045,85
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Receita Agropecuária";"siconfi-cor_RREO3ReceitaAgropecuaria";4112,00
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Receita Industrial";"siconfi-cor_RREO3ReceitaIndustrial";357398,37
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Receita de Serviços";"siconfi-cor_RREO3ReceitaDeServicos";39552062,12
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Transferências Correntes";"siconfi-cor_RREO3TransferenciasCorrentes";353273204,06
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Cota-Parte do FPE";"siconfi-cor_RREO3CotaParteDoFPE";178177016,97
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Transferências da LC nº 87/1996";"siconfi-cor_RREO3TransferenciasDaLC871996";2316913,56
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Transferências da LC nº 61/1989";"siconfi-cor_RREO3TransferenciasDaLC611989";6846124,62
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Transferências do FUNDEB";"siconfi-cor_RREO3TransferenciasDoFUNDEB";136204494,96
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Outras Transferências Correntes";"siconfi-cor_RREO3OutrasTransferenciasCorrentes";29728653,95
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Outras Receitas Correntes";"siconfi-cor_RREO3OutrasReceitasCorrentes";75868217,04
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"DEDUÇÕES (II)";"siconfi-cor_DeducoesDaReceitaCorrenteLiquida";464055784,65
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Transferências Constitucionais e Legais";"siconfi-cor_ReceitaDeTransferenciasConstitucionaisELegais";252403275,58
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Contrib. do Servidor para o Plano de Previdência";"siconfi-cor_ContribuicaoDoServidorParaOPlanoDePrevidencia";43918764,56
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Compensações Financ. entre Regimes Previdência";"siconfi-cor_CompensacaoFinanceiraEntreRegimesPrevidencia";1394811,65
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"Dedução de Receita para Formação do FUNDEB";"siconfi-cor_DeducaoDeReceitaParaFormacaoDoFUNDEB";166338932,86
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-11>";"RECEITA CORRENTE LÍQUIDA (III) = (I - II)";"siconfi-cor_RREO3ReceitaCorrenteLiquida";1044374560,57
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"RECEITAS CORRENTES (I)";"siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB";1770603912,46
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB";910486314,04
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"ICMS";"siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB";732013909,47
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"IPVA";"siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB";81948976,96
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"ITCD";"siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB";3820705,51
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"IRRF";"siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB";80925737,06
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Outros Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_OutrasReceitasTributarias";11776985,04
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Contribuições";"siconfi-cor_RREO3ReceitaDeContribuicoes";201312054,72
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Receita Patrimonial";"siconfi-cor_RREO3ReceitaPatrimonial";42571517,26
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Rendimentos de Aplicação Financeira";"siconfi-cor_RendimentosDeAplicacaoFinanceira";41352749,98
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Outras Receitas Patrimoniais";"siconfi-cor_OutrasReceitasPatrimoniais";1218767,28
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Receita Agropecuária";"siconfi-cor_RREO3ReceitaAgropecuaria";482,00
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Receita Industrial";"siconfi-cor_RREO3ReceitaIndustrial";266851,66
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Receita de Serviços";"siconfi-cor_RREO3ReceitaDeServicos";60400031,99
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Transferências Correntes";"siconfi-cor_RREO3TransferenciasCorrentes";495810096,27
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Cota-Parte do FPE";"siconfi-cor_RREO3CotaParteDoFPE";233028859,27
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Transferências da LC nº 87/1996";"siconfi-cor_RREO3TransferenciasDaLC871996";2316913,56
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Transferências da LC nº 61/1989";"siconfi-cor_RREO3TransferenciasDaLC611989";6984078,27
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Transferências do FUNDEB";"siconfi-cor_RREO3TransferenciasDoFUNDEB";103154218,87
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Outras Transferências Correntes";"siconfi-cor_RREO3OutrasTransferenciasCorrentes";150326026,3
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Outras Receitas Correntes";"siconfi-cor_RREO3OutrasReceitasCorrentes";59756564,52
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"DEDUÇÕES (II)";"siconfi-cor_DeducoesDaReceitaCorrenteLiquida";473912616,57
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Transferências Constitucionais e Legais";"siconfi-cor_ReceitaDeTransferenciasConstitucionaisELegais";241807446,41
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Contrib. do Servidor para o Plano de Previdência";"siconfi-cor_ContribuicaoDoServidorParaOPlanoDePrevidencia";61815880,74
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Compensações Financ. entre Regimes Previdência";"siconfi-cor_CompensacaoFinanceiraEntreRegimesPrevidencia";2876800,23
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"Dedução de Receita para Formação do FUNDEB";"siconfi-cor_DeducaoDeReceitaParaFormacaoDoFUNDEB";167412489,19
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-10>";"RECEITA CORRENTE LÍQUIDA (III) = (I - II)";"siconfi-cor_RREO3ReceitaCorrenteLiquida";1296691295,89
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-9>";"RECEITAS CORRENTES (I)";"siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB";1663630184,12
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-9>";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB";917368603,89
Governo do Estado do Mato Grosso;51;MT;3305531;"<MR-9>";"ICMS";"siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB";746313211,63
