Exercício: 2018
Período: 6o. bimestre
Escopo: Estados/DF
Anexo 01 - Balanço Orçamentário
Tabela: Receitas Orçamentárias
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I)";"siconfi-cor_ReceitasExcetoIntraOrcamentarias";17799745646,97
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"RECEITAS CORRENTES";"siconfi-cor_ReceitasCorrentes";16376407616,31
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA";"siconfi-cor_ReceitaTributaria";7760814264,88
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Impostos";"siconfi-cor_Impostos";7578075447,92
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Taxas";"siconfi-cor_Taxas";182738816,96
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Contribuição de Melhoria";"siconfi-cor_ContribuicaoDeMelhoria";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"CONTRIBUIÇÕES";"siconfi-cor_ReceitaDeContribuicoes";2058927315,38
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Contribuições Sociais";"siconfi-cor_ContribuicoesSociais";842667503,1
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Contribuições Econômicas";"siconfi-cor_ContribuicoesEconomicas";1216259812,28
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Contribuições para Entidades Privadas de Serviço Social e de Formação Profissional";"siconfi-cor_ContribuicoesParaEntidadesPrivadasDeServicoSocial";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"RECEITA PATRIMONIAL";"siconfi-cor_ReceitaPatrimonial";956077540,18
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Exploração do Patrimônio Imobiliário do Estado";"siconfi-cor_ReceitasImobiliarias";4358937,68
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Valores Mobiliários";"siconfi-cor_ReceitasDeValoresMobiliarios";144584528,29
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Delegação de Serviços Públicos Mediante Concessão, Permissão, Autorização ou Licença";"siconfi-cor_ReceitaDeConcessoesEPermissoes";3605975,11
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Exploração de Recursos Naturais";"siconfi-cor_ExploracaoDeRecursosNaturais";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Exploração do Patrimônio Intangível";"siconfi-cor_ExploracaoDoPatrimonioIntangivel";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Cessão de Direitos";"siconfi-cor_ReceitaDaCessaoDeDireitos";803484256,23
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Demais Receitas Patrimoniais";"siconfi-cor_OutrasReceitasPatrimoniais";43842,87
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"RECEITA AGROPECUÁRIA";"siconfi-cor_ReceitaAgropecuaria";230696,06
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"RECEITA INDUSTRIAL";"siconfi-cor_ReceitaIndustrial";5625146,96
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"RECEITA DE SERVIÇOS";"siconfi-cor_ReceitaDeServicos";601280036,66
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Serviços Administrativos e Comerciais Gerais";"siconfi-cor_ServicosAdministrativosEComerciaisGerais";23484486,52
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Serviços e Atividades Referentes à Navegação e ao Transporte";"siconfi-cor_ServicosEAtividadesReferentesANavegacaoEAoTransporte";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Serviços e Atividades Referentes à Saúde";"siconfi-cor_ServicosEAtividadesReferentesASaude";75115096,37
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Serviços e Atividades Financeiras";"siconfi-cor_ServicosEAtividadesFinanceiras";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Outros Serviços";"siconfi-cor_OutrosServicos";502680453,77
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"TRANSFERÊNCIAS CORRENTES";"siconfi-cor_TransferenciasCorrentes";4155031011,8
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Transferências da União e de suas Entidades";"siconfi-cor_TransferenciasCorrentesDaUniaoEDeSuasEntidades";2646373882,87
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Transferências dos Estados e do Distrito Federal e de suas Entidades";"siconfi-cor_TransferenciasCorrentesDosEstadosEDoDistritoFederalEDeSuasEntidades";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Transferências dos Municípios e de suas Entidades";"siconfi-cor_TransferenciasCorrentesDosMunicipiosEDeSuasEntidades";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Transferências de Instituições Privadas";"siconfi-cor_TransferenciasCorrentesDeInstituicoesPrivadas";3451274,89
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Transferências de Outras Instituições Públicas";"siconfi-cor_TransferenciasCorrentesDeOutrasInstituicoesPublicas";1505205854,04
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Transferências do Exterior";"siconfi-cor_TransferenciasCorrentesDoExterior";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Transferências de Pessoas Físicas";"siconfi-cor_TransferenciasCorrentesDePessoasFisicas";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Transferências Provenientes de Depósitos Não Identificados";"siconfi-cor_TransferenciasCorrentesProvenientesDeDepositosNaoIdentificados";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"OUTRAS RECEITAS CORRENTES";"siconfi-cor_OutrasReceitasCorrentes";838421604,39
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Multas Administrativas, Contratuais e Judiciais";"siconfi-cor_MultasEJurosDeMora";29082233,92
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Indenizações, Restituições e Ressarcimentos";"siconfi-cor_IndenizacoesERestituicoes";9862980,01
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Bens, Direitos e Valores Incorporados ao Patrimônio Público";"siconfi-cor_BensDireitosEValoresIncorporadosAoPatrimonioPublico";2122384,96
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Demais Receitas Correntes";"siconfi-cor_ReceitasCorrentesDiversas";797354005,5
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"RECEITAS DE CAPITAL";"siconfi-cor_ReceitasDeCapital";1423338030,66
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"OPERAÇÕES DE CRÉDITO";"siconfi-cor_ReceitasDeOperacoesDeCredito";1099750026,23
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Operações de Crédito - Mercado Interno";"siconfi-cor_OperacoesDeCreditoInternas";1099750026,23
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Operações de Crédito - Mercado Externo";"siconfi-cor_OperacoesDeCreditoExternas";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"ALIENAÇÃO DE BENS";"siconfi-cor_AlienacaoDeBens";1673604,00
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Alienação de Bens Móveis";"siconfi-cor_AlienacaoDeBensMoveis";1198875,59
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Alienação de Bens Imóveis";"siconfi-cor_AlienacaoDeBensImoveis";474728,41
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Alienação de Bens Intangíveis";"siconfi-cor_AlienacaoDeBensIntangiveis";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"AMORTIZAÇÕES DE EMPRÉSTIMOS";"siconfi-cor_AmortizacoesDeEmprestimos";1929505,95
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"TRANSFERÊNCIAS DE CAPITAL";"siconfi-cor_TransferenciasDeCapital";319984894,48
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Transferências da União e de suas Entidades";"siconfi-cor_TransferenciasDeCapitalDaUniaoEDeSuasEntidades";319984894,48
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Transferências dos Estados e do Distrito Federal e de suas Entidades";"siconfi-cor_TransferenciasDeCapitalDosEstadosEDoDistritoFederalEDeSuasEntidades";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Transferências dos Municípios e de suas Entidades";"siconfi-cor_TransferenciasdeCapitalDosMunicipiosEDeSuasEntidades";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"PREVISÃO INICIAL";"Transferências de Instituições Privadas";"siconfi-cor_TransferenciasDeCapitalDeInstituicoesPrivadas";0,00
