Exercício: 2018
Período: 6o. bimestre
Escopo: Estados/DF
Anexo 06 - Demonstrativo do Resultado Primário e Nominal
Tabela: Resultado Primário - Acima da Linha
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Mato Grosso;51;MT;3305531;"VALOR INCORRIDO";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";575110972,57
Governo do Estado do Mato Grosso do Sul;50;MS;2682386;"VALOR INCORRIDO";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";552368269,87
Governo do Estado de Santa Catarina;42;SC;6910553;"VALOR INCORRIDO";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";276032944,15
Governo do Estado da Bahia;29;BA;15276566;"VALOR INCORRIDO";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";-76446343,57
Governo do Estado do Espírito Santo;32;ES;3973697;"VALOR INCORRIDO";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";851171890,04
Governo do Estado do Acre;12;AC;816687;"VALOR INCORRIDO";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";74226660,63
Governo do Estado de Rondônia;11;RO;1787279;"VALOR INCORRIDO";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";205730507,87
Governo do Estado de Goiás;52;GO;6695855;"VALOR INCORRIDO";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";1030816915,68
Governo do Estado do Amapá;16;AP;782295;"VALOR INCORRIDO";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";1435909107,66
Governo do Estado do Rio de Janeiro;33;RJ;16635996;"VALOR INCORRIDO";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";1978121380,19
Governo do Estado de São Paulo;35;SP;44749699;"VALOR INCORRIDO";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";12403802005,18
Governo do Estado de Pernambuco;26;PE;9410336;"VALOR INCORRIDO";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";852945230,99
