Exercício: 2022
Período: 6o. bimestre
Escopo: Estados/DF
Anexo 06 - Demonstrativo do Resultado Primário e Nominal
Tabela: Resultado Primário - Acima da Linha
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Espírito Santo;32;ES;4108508;"VALOR";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";550733885,44
Governo do Estado de Goiás;52;GO;7206589;"VALOR";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";2362933859,72
Governo do Estado de Sergipe;28;SE;2338474;"VALOR";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";14196116,43
Governo do Estado de Santa Catarina;42;SC;7338473;"VALOR";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";864025787,96
Governo do Estado de Rondônia;11;RO;1815278;"VALOR";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";-73521943,07
Governo do Estado do Mato Grosso do Sul;50;MS;2839188;"VALOR";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";-505721229,44
Governo do Estado da Bahia;29;BA;14985284;"VALOR";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";942051298,53
Governo do Estado do Mato Grosso;51;MT;3567234;"VALOR";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";2169048494,29
Governo do Estado do Acre;12;AC;906876;"VALOR";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";265003551,09
Governo do Estado do Rio Grande do Sul;43;RS;11466630;"VALOR";"RESULTADO PRIMÁRIO - Acima da Linha (XXIV) = (XIIa - (XXIIIa +XXIIIb + XXIIIc))";"siconfi-cor_RREO6ResultadoPrimarioEstadosMunicipios";1352248887,78
