Exercício: 2018
Período: 3o. quadrimestre
Escopo: Estados/DF
Anexo 01 - Demonstrativo da Despesas Com Pessoal
Tabela: Despesas com pessoal
Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-11>";"DESPESA BRUTA COM PESSOAL (I)";"siconfi-cor_DespesaComPessoalBruta";449842767,59
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-11>";"Pessoal Ativo";"siconfi-cor_DespesaComPessoalAtivoBruta";280320781,56
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-11>";"Vencimentos, Vantagens e Outras Despesas Variáveis";"siconfi-cor_VencimentosVantagensEOutrasDespesasVariaveis";238502196,68
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-11>";"Obrigações Patronais";"siconfi-cor_ObrigacoesPatronais";41667317,88
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-11>";"Benefícios Previdenciários";"siconfi-cor_BeneficiosPrevidenciarios";151267,00
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-11>";"Pessoal Inativo e Pensionistas";"siconfi-cor_DespesaComPessoalInativoEPensionistasBruta";169521986,03
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-11>";"Aposentadorias, Reserva e Reformas";"siconfi-cor_AposentadoriasReservaEReformas";146878540,46
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-11>";"Pensões";"siconfi-cor_DespesasPensoesInativosEPensionistas";22643445,57
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-11>";"DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)";"siconfi-cor_DespesaComPessoalNaoComputada";180541252,8
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-11>";"Indenizações por Demissão e Incentivos à Demissão Voluntária";"siconfi-cor_DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria";5217290,42
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-11>";"Decorrentes de Decisão Judicial de Período Anterior ao da Apuração";"siconfi-cor_DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao";1670,51
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-11>";"Despesas de Exercícios Anteriores de Período Anterior ao da Apuração";"siconfi-cor_DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao";5800305,84
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-11>";"Inativos e Pensionistas com Recursos Vinculados";"siconfi-cor_DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados";169521986,03
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-11>";"DESPESA LÍQUIDA COM PESSOAL (III) = (I - II)";"siconfi-cor_DespesaComPessoalLiquida";269301514,79
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-10>";"DESPESA BRUTA COM PESSOAL (I)";"siconfi-cor_DespesaComPessoalBruta";555629708,77
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-10>";"Pessoal Ativo";"siconfi-cor_DespesaComPessoalAtivoBruta";366656806,12
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-10>";"Vencimentos, Vantagens e Outras Despesas Variáveis";"siconfi-cor_VencimentosVantagensEOutrasDespesasVariaveis";276689339,14
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-10>";"Obrigações Patronais";"siconfi-cor_ObrigacoesPatronais";89773685,21
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-10>";"Benefícios Previdenciários";"siconfi-cor_BeneficiosPrevidenciarios";193781,77
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-10>";"Pessoal Inativo e Pensionistas";"siconfi-cor_DespesaComPessoalInativoEPensionistasBruta";188972902,65
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-10>";"Aposentadorias, Reserva e Reformas";"siconfi-cor_AposentadoriasReservaEReformas";163811391,95
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-10>";"Pensões";"siconfi-cor_DespesasPensoesInativosEPensionistas";25161510,7
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-10>";"DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)";"siconfi-cor_DespesaComPessoalNaoComputada";211002722,55
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-10>";"Indenizações por Demissão e Incentivos à Demissão Voluntária";"siconfi-cor_DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria";3154798,87
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-10>";"Decorrentes de Decisão Judicial de Período Anterior ao da Apuração";"siconfi-cor_DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao";15779926,02
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-10>";"Despesas de Exercícios Anteriores de Período Anterior ao da Apuração";"siconfi-cor_DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao";3110112,71
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-10>";"Inativos e Pensionistas com Recursos Vinculados";"siconfi-cor_DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados";188957884,95
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-10>";"DESPESA LÍQUIDA COM PESSOAL (III) = (I - II)";"siconfi-cor_DespesaComPessoalLiquida";344626986,22
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-9>";"DESPESA BRUTA COM PESSOAL (I)";"siconfi-cor_DespesaComPessoalBruta";629303772,44
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-9>";"Pessoal Ativo";"siconfi-cor_DespesaComPessoalAtivoBruta";406572832,93
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-9>";"Vencimentos, Vantagens e Outras Despesas Variáveis";"siconfi-cor_VencimentosVantagensEOutrasDespesasVariaveis";293191374,7
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-9>";"Obrigações Patronais";"siconfi-cor_ObrigacoesPatronais";112173281,49
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-9>";"Benefícios Previdenciários";"siconfi-cor_BeneficiosPrevidenciarios";1208176,74
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-9>";"Pessoal Inativo e Pensionistas";"siconfi-cor_DespesaComPessoalInativoEPensionistasBruta";222730939,51
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-9>";"Aposentadorias, Reserva e Reformas";"siconfi-cor_AposentadoriasReservaEReformas";193606321,31
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-9>";"Pensões";"siconfi-cor_DespesasPensoesInativosEPensionistas";29122905,86
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-9>";"Outros Benefícios Previdenciários";"siconfi-cor_OutrosBeneficiosPrevidenciariosInativosEPensionistas";1712,34
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-9>";"DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)";"siconfi-cor_DespesaComPessoalNaoComputada";242973522,44
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-9>";"Indenizações por Demissão e Incentivos à Demissão Voluntária";"siconfi-cor_DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria";10094524,39
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-9>";"Decorrentes de Decisão Judicial de Período Anterior ao da Apuração";"siconfi-cor_DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao";14131444,71
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-9>";"Despesas de Exercícios Anteriores de Período Anterior ao da Apuração";"siconfi-cor_DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao";7370316,24
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-9>";"Inativos e Pensionistas com Recursos Vinculados";"siconfi-cor_DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados";211377237,1
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-9>";"DESPESA LÍQUIDA COM PESSOAL (III) = (I - II)";"siconfi-cor_DespesaComPessoalLiquida";386330250,00
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-8>";"DESPESA BRUTA COM PESSOAL (I)";"siconfi-cor_DespesaComPessoalBruta";572676061,03
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-8>";"Pessoal Ativo";"siconfi-cor_DespesaComPessoalAtivoBruta";390018169,99
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-8>";"Vencimentos, Vantagens e Outras Despesas Variáveis";"siconfi-cor_VencimentosVantagensEOutrasDespesasVariaveis";294696823,46
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-8>";"Obrigações Patronais";"siconfi-cor_ObrigacoesPatronais";95294534,25
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-8>";"Benefícios Previdenciários";"siconfi-cor_BeneficiosPrevidenciarios";26812,28
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-8>";"Pessoal Inativo e Pensionistas";"siconfi-cor_DespesaComPessoalInativoEPensionistasBruta";182657891,04
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-8>";"Aposentadorias, Reserva e Reformas";"siconfi-cor_AposentadoriasReservaEReformas";159033539,6
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-8>";"Pensões";"siconfi-cor_DespesasPensoesInativosEPensionistas";23622797,65
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-8>";"Outros Benefícios Previdenciários";"siconfi-cor_OutrosBeneficiosPrevidenciariosInativosEPensionistas";1553,79
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-8>";"DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)";"siconfi-cor_DespesaComPessoalNaoComputada";208906628,39
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-8>";"Indenizações por Demissão e Incentivos à Demissão Voluntária";"siconfi-cor_DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria";8056033,65
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-8>";"Decorrentes de Decisão Judicial de Período Anterior ao da Apuração";"siconfi-cor_DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao";21026819,44
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2682386;"<MR-8>";"Despesas de Exercícios Anteriores de Período Anterior ao da Apuração";"siconfi-cor_DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao";1927315,52
