Exercício: 2022
Período: 3o. quadrimestre
Escopo: Estados/DF
Anexo 02 - Demonstrativo da Dívida Consolidada Líquida
Tabela: Dívida Consolidada Líquida
Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"DÍVIDA CONSOLIDADA - DC (I)";"siconfi-cor_DividaConsolidada";7383900046,12
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"Dívida Contratual";"siconfi-cor_DividaContratual";7177436346,48
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"Empréstimos";"siconfi-cor_RGF2Emprestimos";4732358834,79
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"Internos";"siconfi-cor_RGF2EmprestimosInternos";3201090783,77
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"Externos";"siconfi-cor_RGF2EmprestimosExternos";1531268051,02
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"Reestruturação da Dívida de Estados e Municípios";"siconfi-cor_RGF2ReestruturacaoDaDividaDeEstadosEMunicipios";2149392845,02
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"Parcelamento e Renegociação de Dívidas";"siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividas";295684666,67
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"De Tributos";"siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividasDeTributos";295684666,67
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"Outras Dívidas";"siconfi-cor_OutrasDividas";206463699,64
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"DEDUÇÕES (II)";"siconfi-cor_DeducoesDaDividaConsolidada";7011982019,45
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"Disponibilidade de Caixa";"siconfi-cor_RGF2DisponibilidadeDeCaixa";6855007165,46
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"Disponibilidade de Caixa Bruta";"siconfi-cor_DisponibilidadeDeCaixaBrutaAnexo02";7898106798,89
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"(-) Restos a Pagar Processados";"siconfi-cor_RestosAPagarProcessadosExcetoPrecatorios";488440321,38
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"(-) Depósitos Restituíveis e Valores Vinculados";"siconfi-cor_DepositosRestituiveisEValoresVinculados";554659312,05
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"Demais Haveres Financeiros";"siconfi-cor_DemaisHaveresFinanceiros";156974853,99
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II)";"siconfi-cor_DividaConsolidadaLiquida";371918026,67
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"RECEITA CORRENTE LÍQUIDA - RCL (IV)";"siconfi-cor_RGF2ReceitaCorrenteLiquida";18821227339,89
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"(-) Transferências Obrigatórias da União Relativas às Emendas Individuais (art. 166-A, § 1º, da CF) (V)";"siconfi-cor_TransferenciasObrigatoriasDaUniaoRelativasAsEmendasIndividuais";24989986,00
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"= RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (VI) = (IV - V)";"siconfi-cor_ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDeEndividamento";18796237353,89
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"% da DC sobre a RCL AJUSTADA (I/VI)";"siconfi-cor_PercentualDaDCSobreARCL";39,28
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"% da DCL sobre a RCL AJUSTADA (III/VI)";"siconfi-cor_PercentualDaDCLSobreARCL";1,98
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"LIMITE DEFINIDO POR RESOLUÇÃO DO SENADO FEDERAL";"siconfi-cor_LimiteDefinidoPorResolucaoDoSenadoFederal";37592474707,78
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"LIMITE DE ALERTA (inciso III do § 1º do art. 59 da LRF)";"siconfi-cor_LimiteDeAlerta";33833227237,00
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"Precatórios Posteriores a 05/05/2000 (Não incluídos na DC)";"siconfi-cor_PrecatoriosAPartirDe05052000";110720003,34
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"Passivo Atuarial";"siconfi-cor_RGF2DividaConsolidadaPrevidenciariaPassivoAtuarial";5455301191,42
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"RP Não-Processados";"siconfi-cor_RPNaoProcessadosDeExerciciosAnteriores";1072044066,71
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"SALDO DO EXERCÍCIO ANTERIOR";"Apropriação de Depósitos Judiciais";"siconfi-cor_ApropriacaoDeDepositosJudiciais";166535718,53
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"DÍVIDA CONSOLIDADA - DC (I)";"siconfi-cor_DividaConsolidada";7193076073,79
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"Dívida Contratual";"siconfi-cor_DividaContratual";6998643586,88
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"Empréstimos";"siconfi-cor_RGF2Emprestimos";4637442147,93
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"Internos";"siconfi-cor_RGF2EmprestimosInternos";3241698432,37
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"Externos";"siconfi-cor_RGF2EmprestimosExternos";1395743715,56
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"Reestruturação da Dívida de Estados e Municípios";"siconfi-cor_RGF2ReestruturacaoDaDividaDeEstadosEMunicipios";2134323037,96
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"Parcelamento e Renegociação de Dívidas";"siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividas";226878400,99
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"De Tributos";"siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividasDeTributos";226878400,99
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"Outras Dívidas";"siconfi-cor_OutrasDividas";194432486,91
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"DEDUÇÕES (II)";"siconfi-cor_DeducoesDaDividaConsolidada";8598372352,32
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"Disponibilidade de Caixa";"siconfi-cor_RGF2DisponibilidadeDeCaixa";8057073367,67
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"Disponibilidade de Caixa Bruta";"siconfi-cor_DisponibilidadeDeCaixaBrutaAnexo02";8707047398,55
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"(-) Restos a Pagar Processados";"siconfi-cor_RestosAPagarProcessadosExcetoPrecatorios";94947350,96
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"(-) Depósitos Restituíveis e Valores Vinculados";"siconfi-cor_DepositosRestituiveisEValoresVinculados";555026679,92
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"Demais Haveres Financeiros";"siconfi-cor_DemaisHaveresFinanceiros";541298984,65
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II)";"siconfi-cor_DividaConsolidadaLiquida";-1405296278,53
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"RECEITA CORRENTE LÍQUIDA - RCL (IV)";"siconfi-cor_RGF2ReceitaCorrenteLiquida";20266867375,87
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"(-) Transferências Obrigatórias da União Relativas às Emendas Individuais (art. 166-A, § 1º, da CF) (V)";"siconfi-cor_TransferenciasObrigatoriasDaUniaoRelativasAsEmendasIndividuais";27080847,00
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"= RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (VI) = (IV - V)";"siconfi-cor_ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDeEndividamento";20239786528,87
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"% da DC sobre a RCL AJUSTADA (I/VI)";"siconfi-cor_PercentualDaDCSobreARCL";35,54
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"% da DCL sobre a RCL AJUSTADA (III/VI)";"siconfi-cor_PercentualDaDCLSobreARCL";-6,94
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"LIMITE DEFINIDO POR RESOLUÇÃO DO SENADO FEDERAL";"siconfi-cor_LimiteDefinidoPorResolucaoDoSenadoFederal";40479573057,74
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"LIMITE DE ALERTA (inciso III do § 1º do art. 59 da LRF)";"siconfi-cor_LimiteDeAlerta";36431615751,97
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"Precatórios Posteriores a 05/05/2000 (Não incluídos na DC)";"siconfi-cor_PrecatoriosAPartirDe05052000";110720003,34
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"Passivo Atuarial";"siconfi-cor_RGF2DividaConsolidadaPrevidenciariaPassivoAtuarial";5455301191,42
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"RP Não-Processados";"siconfi-cor_RPNaoProcessadosDeExerciciosAnteriores";474472301,56
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 1º Quadrimestre";"Apropriação de Depósitos Judiciais";"siconfi-cor_ApropriacaoDeDepositosJudiciais";167053146,55
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"DÍVIDA CONSOLIDADA - DC (I)";"siconfi-cor_DividaConsolidada";7314342904,26
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"Dívida Contratual";"siconfi-cor_DividaContratual";7129191029,99
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"Empréstimos";"siconfi-cor_RGF2Emprestimos";4758335103,22
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"Internos";"siconfi-cor_RGF2EmprestimosInternos";3248691939,56
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"Externos";"siconfi-cor_RGF2EmprestimosExternos";1509643163,66
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"Reestruturação da Dívida de Estados e Municípios";"siconfi-cor_RGF2ReestruturacaoDaDividaDeEstadosEMunicipios";2151507299,03
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"Parcelamento e Renegociação de Dívidas";"siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividas";219348627,74
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"De Tributos";"siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividasDeTributos";219348627,74
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"Outras Dívidas";"siconfi-cor_OutrasDividas";185151874,27
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"DEDUÇÕES (II)";"siconfi-cor_DeducoesDaDividaConsolidada";9893012850,31
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"Disponibilidade de Caixa";"siconfi-cor_RGF2DisponibilidadeDeCaixa";9257448612,76
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"Disponibilidade de Caixa Bruta";"siconfi-cor_DisponibilidadeDeCaixaBrutaAnexo02";9959099206,91
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"(-) Restos a Pagar Processados";"siconfi-cor_RestosAPagarProcessadosExcetoPrecatorios";82066464,96
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"(-) Depósitos Restituíveis e Valores Vinculados";"siconfi-cor_DepositosRestituiveisEValoresVinculados";619584129,19
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"Demais Haveres Financeiros";"siconfi-cor_DemaisHaveresFinanceiros";635564237,55
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II)";"siconfi-cor_DividaConsolidadaLiquida";-2578669946,05
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"RECEITA CORRENTE LÍQUIDA - RCL (IV)";"siconfi-cor_RGF2ReceitaCorrenteLiquida";21408036503,27
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"(-) Transferências Obrigatórias da União Relativas às Emendas Individuais (art. 166-A, § 1º, da CF) (V)";"siconfi-cor_TransferenciasObrigatoriasDaUniaoRelativasAsEmendasIndividuais";12203086,00
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"= RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (VI) = (IV - V)";"siconfi-cor_ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDeEndividamento";21395833417,27
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"% da DC sobre a RCL AJUSTADA (I/VI)";"siconfi-cor_PercentualDaDCSobreARCL";34,19
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"% da DCL sobre a RCL AJUSTADA (III/VI)";"siconfi-cor_PercentualDaDCLSobreARCL";-12,05
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"LIMITE DEFINIDO POR RESOLUÇÃO DO SENADO FEDERAL";"siconfi-cor_LimiteDefinidoPorResolucaoDoSenadoFederal";42791666834,54
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"LIMITE DE ALERTA (inciso III do § 1º do art. 59 da LRF)";"siconfi-cor_LimiteDeAlerta";38512500151,09
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"Precatórios Posteriores a 05/05/2000 (Não incluídos na DC)";"siconfi-cor_PrecatoriosAPartirDe05052000";103557118,28
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"Passivo Atuarial";"siconfi-cor_RGF2DividaConsolidadaPrevidenciariaPassivoAtuarial";5455301191,42
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"RP Não-Processados";"siconfi-cor_RPNaoProcessadosDeExerciciosAnteriores";243836616,26
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 2º Quadrimestre";"Apropriação de Depósitos Judiciais";"siconfi-cor_ApropriacaoDeDepositosJudiciais";168696580,43
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 3º Quadrimestre";"DÍVIDA CONSOLIDADA - DC (I)";"siconfi-cor_DividaConsolidada";7269095439,77
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 3º Quadrimestre";"Dívida Contratual";"siconfi-cor_DividaContratual";7269095439,77
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 3º Quadrimestre";"Empréstimos";"siconfi-cor_RGF2Emprestimos";4866244603,88
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 3º Quadrimestre";"Internos";"siconfi-cor_RGF2EmprestimosInternos";3226031397,44
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 3º Quadrimestre";"Externos";"siconfi-cor_RGF2EmprestimosExternos";1640213206,44
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 3º Quadrimestre";"Reestruturação da Dívida de Estados e Municípios";"siconfi-cor_RGF2ReestruturacaoDaDividaDeEstadosEMunicipios";2167757793,19
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 3º Quadrimestre";"Parcelamento e Renegociação de Dívidas";"siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividas";235093042,7
Governo do Estado do Espírito Santo;32;ES;Executivo;4108508;"Até o 3º Quadrimestre";"De Tributos";"siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividasDeTributos";211818854,48
