Exercício: 2022
Período: 1o. quadrimestre
Escopo: Estados/DF
Anexo 01 - Demonstrativo da Despesas Com Pessoal
Tabela: Despesas com pessoal
Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-11>";"DESPESA BRUTA COM PESSOAL (I)";"siconfi-cor_DespesaComPessoalBruta";341557822,95
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-11>";"Pessoal Ativo";"siconfi-cor_DespesaComPessoalAtivoBruta";280329157,98
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-11>";"Vencimentos, Vantagens e Outras Despesas Variáveis";"siconfi-cor_VencimentosVantagensEOutrasDespesasVariaveis";254713099,81
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-11>";"Obrigações Patronais";"siconfi-cor_ObrigacoesPatronais";25616058,17
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-11>";"Pessoal Inativo e Pensionistas";"siconfi-cor_DespesaComPessoalInativoEPensionistasBruta";57393103,35
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-11>";"Aposentadorias, Reserva e Reformas";"siconfi-cor_AposentadoriasReservaEReformas";47941453,11
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-11>";"Pensões";"siconfi-cor_DespesasPensoesInativosEPensionistas";9451650,24
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-11>";"Outras Despesas de Pessoal decorrentes de Contratos de Terceirização ou de contratação de forma indireta (§ 1º do art. 18 da LRF)";"siconfi-cor_DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta";3835561,62
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-11>";"DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)";"siconfi-cor_DespesaComPessoalNaoComputada";47679994,72
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-11>";"Indenizações por Demissão e Incentivos à Demissão Voluntária";"siconfi-cor_DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria";24462,62
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-11>";"Decorrentes de Decisão Judicial de Período Anterior ao da Apuração";"siconfi-cor_DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao";4812846,98
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-11>";"Despesas de Exercícios Anteriores de Período Anterior ao da Apuração";"siconfi-cor_DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao";7061,05
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-11>";"Inativos e Pensionistas com Recursos Vinculados";"siconfi-cor_DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados";42835624,07
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-11>";"DESPESA LÍQUIDA COM PESSOAL (III) = (I - II)";"siconfi-cor_DespesaComPessoalLiquida";293877828,23
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-10>";"DESPESA BRUTA COM PESSOAL (I)";"siconfi-cor_DespesaComPessoalBruta";386634848,3
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-10>";"Pessoal Ativo";"siconfi-cor_DespesaComPessoalAtivoBruta";294299677,75
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-10>";"Vencimentos, Vantagens e Outras Despesas Variáveis";"siconfi-cor_VencimentosVantagensEOutrasDespesasVariaveis";270343797,95
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-10>";"Obrigações Patronais";"siconfi-cor_ObrigacoesPatronais";23955879,8
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-10>";"Pessoal Inativo e Pensionistas";"siconfi-cor_DespesaComPessoalInativoEPensionistasBruta";86164538,4
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-10>";"Aposentadorias, Reserva e Reformas";"siconfi-cor_AposentadoriasReservaEReformas";71980785,37
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-10>";"Pensões";"siconfi-cor_DespesasPensoesInativosEPensionistas";14183753,03
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-10>";"Outras Despesas de Pessoal decorrentes de Contratos de Terceirização ou de contratação de forma indireta (§ 1º do art. 18 da LRF)";"siconfi-cor_DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta";6170632,15
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-10>";"DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)";"siconfi-cor_DespesaComPessoalNaoComputada";67310422,8
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-10>";"Indenizações por Demissão e Incentivos à Demissão Voluntária";"siconfi-cor_DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria";46569,15
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-10>";"Decorrentes de Decisão Judicial de Período Anterior ao da Apuração";"siconfi-cor_DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao";2935884,98
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-10>";"Despesas de Exercícios Anteriores de Período Anterior ao da Apuração";"siconfi-cor_DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao";110158,34
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-10>";"Inativos e Pensionistas com Recursos Vinculados";"siconfi-cor_DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados";64217810,33
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-10>";"DESPESA LÍQUIDA COM PESSOAL (III) = (I - II)";"siconfi-cor_DespesaComPessoalLiquida";319324425,5
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-9>";"DESPESA BRUTA COM PESSOAL (I)";"siconfi-cor_DespesaComPessoalBruta";348954413,7
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-9>";"Pessoal Ativo";"siconfi-cor_DespesaComPessoalAtivoBruta";288356466,53
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-9>";"Vencimentos, Vantagens e Outras Despesas Variáveis";"siconfi-cor_VencimentosVantagensEOutrasDespesasVariaveis";263385180,84
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-9>";"Obrigações Patronais";"siconfi-cor_ObrigacoesPatronais";24971285,69
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-9>";"Pessoal Inativo e Pensionistas";"siconfi-cor_DespesaComPessoalInativoEPensionistasBruta";58211958,06
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-9>";"Aposentadorias, Reserva e Reformas";"siconfi-cor_AposentadoriasReservaEReformas";48330270,62
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-9>";"Pensões";"siconfi-cor_DespesasPensoesInativosEPensionistas";9881687,44
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-9>";"Outras Despesas de Pessoal decorrentes de Contratos de Terceirização ou de contratação de forma indireta (§ 1º do art. 18 da LRF)";"siconfi-cor_DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta";2385989,11
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-9>";"DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)";"siconfi-cor_DespesaComPessoalNaoComputada";45562423,24
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-9>";"Indenizações por Demissão e Incentivos à Demissão Voluntária";"siconfi-cor_DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria";5041,32
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-9>";"Decorrentes de Decisão Judicial de Período Anterior ao da Apuração";"siconfi-cor_DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao";2026920,91
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-9>";"Despesas de Exercícios Anteriores de Período Anterior ao da Apuração";"siconfi-cor_DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao";39748,6
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-9>";"Inativos e Pensionistas com Recursos Vinculados";"siconfi-cor_DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados";43490712,41
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-9>";"DESPESA LÍQUIDA COM PESSOAL (III) = (I - II)";"siconfi-cor_DespesaComPessoalLiquida";303391990,46
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-8>";"DESPESA BRUTA COM PESSOAL (I)";"siconfi-cor_DespesaComPessoalBruta";337104188,78
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-8>";"Pessoal Ativo";"siconfi-cor_DespesaComPessoalAtivoBruta";274064127,13
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-8>";"Vencimentos, Vantagens e Outras Despesas Variáveis";"siconfi-cor_VencimentosVantagensEOutrasDespesasVariaveis";243770074,57
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-8>";"Obrigações Patronais";"siconfi-cor_ObrigacoesPatronais";30294052,56
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-8>";"Pessoal Inativo e Pensionistas";"siconfi-cor_DespesaComPessoalInativoEPensionistasBruta";58967344,88
Governo do Estado de Rondônia;11;RO;Executivo;1815278;"<MR-8>";"Aposentadorias, Reserva e Reformas";"siconfi-cor_AposentadoriasReservaEReformas";49087712,64
