Exercício: 2024
Período: 2o. bimestre
Escopo: Estados/DF
Anexo 06 - Demonstrativo do Resultado Primário e Nominal
Tabela: Meta Fiscal para o Resultado Primário
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;7762154;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";1078061000,00
Governo do Estado de Rondônia;11;RO;1616379;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";469492876,00
Governo do Estado do Espírito Santo;32;ES;3975100;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";-244570000,00
Governo do Estado de Goiás;52;GO;6950976;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";184722902,7
Governo do Estado do Maranhão;21;MA;6800605;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";3154189200,00
Governo do Estado da Bahia;29;BA;14659023;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";45252000,00
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";299810787,00
Governo do Estado de Minas Gerais;31;MG;20732660;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";3492237465,03
Governo do Estado do Tocantins;17;TO;1584306;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";236779021,00
Governo do Estado do Mato Grosso;51;MT;3784239;"VALOR CORRENTE";"Meta fixada no Anexo de Metas Fiscais da LDO para o exercício de referência";"siconfi-cor_RREO6MetaDeResultadoPrimarioFixadaNoAnexoDeMetasFiscaisDaLDOParaOExercicioDeReferencia";287198825,29
