Exercício: 2024
Período: 6o. bimestre
Escopo: Estados/DF
Anexo 03 - Demonstrativo da Receita Corrente Líquida
Tabela: Receita Corrente Líquida
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"RECEITAS CORRENTES (I)";"siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB";2950272908,41
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB";2259698943,05
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"ICMS";"siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB";1467500137,3
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"IPVA";"siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB";553172384,62
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"ITCD";"siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB";64217127,75
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"IRRF";"siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB";135977139,61
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"Outros Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_OutrasReceitasTributarias";38832153,77
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"Contribuições";"siconfi-cor_RREO3ReceitaDeContribuicoes";55941448,42
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"Receita Patrimonial";"siconfi-cor_RREO3ReceitaPatrimonial";63187984,58
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"Rendimentos de Aplicação Financeira";"siconfi-cor_RendimentosDeAplicacaoFinanceira";48609350,96
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"Outras Receitas Patrimoniais";"siconfi-cor_OutrasReceitasPatrimoniais";14578633,62
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"Receita de Serviços";"siconfi-cor_RREO3ReceitaDeServicos";68860455,11
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"Transferências Correntes";"siconfi-cor_RREO3TransferenciasCorrentes";487382202,33
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"Cota-Parte do FPE";"siconfi-cor_RREO3CotaParteDoFPE";209735339,6
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"Transferências da LC nº 61/1989";"siconfi-cor_RREO3TransferenciasDaLC611989";10744902,07
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"Transferências do FUNDEB";"siconfi-cor_RREO3TransferenciasDoFUNDEB";163233098,00
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"Outras Transferências Correntes";"siconfi-cor_RREO3OutrasTransferenciasCorrentes";103668862,66
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"Outras Receitas Correntes";"siconfi-cor_RREO3OutrasReceitasCorrentes";15201874,92
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"DEDUÇÕES (II)";"siconfi-cor_DeducoesDaReceitaCorrenteLiquida";1067256146,8
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"Transferências Constitucionais e Legais";"siconfi-cor_ReceitaDeTransferenciasConstitucionaisELegais";677459068,4
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"Contrib. do Servidor para o Plano de Previdência";"siconfi-cor_ContribuicaoDoServidorParaOPlanoDePrevidencia";55941448,42
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"Compensações Financ. entre Regimes Previdência";"siconfi-cor_CompensacaoFinanceiraEntreRegimesPrevidencia";41503,11
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"Rendimentos de Aplicações de Recursos Previdenciários";"siconfi-cor_RendimentosDeAplicacoesDeRecursosPrevidenciarios";1428339,35
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"<MR-11>";"Dedução de Receita para Formação do FUNDEB";"siconfi-cor_DeducaoDeReceitaParaFormacaoDoFUNDEB";332385787,52
