Exercício: 2025
Período: 3o. quadrimestre
Escopo: Estados/DF
Anexo 01 - Demonstrativo da Despesas Com Pessoal
Tabela: Despesas com pessoal
Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2833742;"<MR-11>";"DESPESA BRUTA COM PESSOAL (I)";"siconfi-cor_DespesaComPessoalBruta";1374051576,99
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2833742;"<MR-11>";"Pessoal Ativo";"siconfi-cor_DespesaComPessoalAtivoBruta";806847460,31
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2833742;"<MR-11>";"Vencimentos, Vantagens e Outras Despesas Variáveis";"siconfi-cor_VencimentosVantagensEOutrasDespesasVariaveis";591627975,38
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2833742;"<MR-11>";"Obrigações Patronais";"siconfi-cor_ObrigacoesPatronais";215219484,93
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2833742;"<MR-11>";"Pessoal Inativo e Pensionistas";"siconfi-cor_DespesaComPessoalInativoEPensionistasBruta";555624347,04
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2833742;"<MR-11>";"Aposentadorias, Reserva e Reformas";"siconfi-cor_AposentadoriasReservaEReformas";469277100,64
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2833742;"<MR-11>";"Pensões";"siconfi-cor_DespesasPensoesInativosEPensionistas";86347246,4
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2833742;"<MR-11>";"Outras Despesas de Pessoal decorrentes de Contratos de Terceirização ou de contratação de forma indireta (§ 1º do art. 18 da LRF)";"siconfi-cor_DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta";11579769,64
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2833742;"<MR-11>";"DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)";"siconfi-cor_DespesaComPessoalNaoComputada";433928359,33
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2833742;"<MR-11>";"Indenizações por Demissão e Incentivos à Demissão Voluntária";"siconfi-cor_DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria";4113744,27
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2833742;"<MR-11>";"Decorrentes de Decisão Judicial de Período Anterior ao da Apuração";"siconfi-cor_DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao";15548619,18
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2833742;"<MR-11>";"Despesas de Exercícios Anteriores de Período Anterior ao da Apuração";"siconfi-cor_DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao";26246,74
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2833742;"<MR-11>";"Inativos e Pensionistas com Recursos Vinculados";"siconfi-cor_DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados";414118608,93
Governo do Estado do Mato Grosso do Sul;50;MS;Executivo;2833742;"<MR-11>";"Parcela dedutível referente ao piso salarial do Enfermeiro, Técnico de Enfermagem, Auxiliar de Enfermagem e Parteira (ADCT, art. 38, §2º)";"siconfi-cor_ParcelaDedutivelReferenteAoPisoSalarialDoEnfermeiroTecnicoDeEnfermagemAuxiliarDeEnfermagemEParteira";121140,21
