Estado,Codigo_UF,Ano_Base,Ano_Atual,DCL_RCL_Pct_Inicial,DCL_RCL_Pct_Atual,DTP_RCL_Pct_Inicial,DTP_RCL_Pct_Atual,Primario_RCL_Pct_Inicial,Primario_RCL_Pct_Atual,Delta_DCL_pp,Delta_DTP_pp,Delta_Primario_pp
Rondônia,11,2018,2024,50.18,5.34,44.77,42.31,3.16,4.08,-44.83,-2.47,0.91
Acre,12,2018,2024,79.73,23.93,52.03,54.57,-17.77,8.25,-55.80,2.54,26.02
Amazonas,13,2018,2024,38.10,34.48,53.02,44.88,10.58,1.77,-3.62,-8.14,-8.81
Roraima,14,2018,2024,41.78,11.30,51.00,53.32,11.82,-6.22,-30.48,2.32,-18.04
Pará,15,2018,2024,13.90,8.14,49.21,45.82,-8.57,-8.31,-5.76,-3.39,0.25
Amapá,16,2022,2024,34.15,10.34,44.58,47.93,-66.35,28.40,-23.81,3.36,94.76
Tocantins,17,2018,2024,63.49,12.21,53.43,51.65,-6.60,1.81,-51.28,-1.79,8.41
Maranhão,21,2018,2024,56.99,19.18,49.66,39.63,-4.45,14.54,-37.81,-10.03,18.99
Piauí,22,2022,2024,60.16,69.91,49.78,46.32,-13.52,-12.97,9.75,-3.46,0.55
Ceará,23,2022,2024,44.13,37.54,51.54,49.25,-5.70,-1.90,-6.59,-2.30,3.80
Rio Grande do Norte,24,2018,2024,45.49,42.75,61.94,61.17,-3.73,1.94,-2.74,-0.77,5.67
Paraíba,25,2018,2024,34.12,-12.66,53.18,54.37,-6.94,-1.07,-46.78,1.19,5.86
Pernambuco,26,2022,2024,41.38,34.81,50.39,46.92,-3.12,4.24,-6.58,-3.47,7.36
Alagoas,27,2018,2024,95.26,88.67,52.75,42.05,8.50,-19.96,-6.59,-10.71,-28.47
Sergipe,28,2022,2024,36.63,22.84,51.24,48.49,-0.45,13.30,-13.79,-2.75,13.74
Bahia,29,2022,2024,38.02,42.08,44.05,47.19,2.07,1.07,4.06,3.15,-1.01
Minas Gerais,31,2018,2024,193.04,182.72,68.07,54.84,18.52,4.93,-10.33,-13.23,-13.60
Espírito Santo,32,2018,2024,29.53,-11.46,46.38,42.22,-23.49,-7.61,-40.99,-4.16,15.88
Rio de Janeiro,33,2018,2024,305.34,222.22,43.38,49.17,-34.84,27.25,-83.11,5.79,62.09
São Paulo,35,2022,2024,134.29,138.32,44.09,46.07,10.73,5.84,4.02,1.98,-4.90
Paraná,41,2018,2024,39.59,-11.83,45.76,47.38,-11.89,10.38,-51.42,1.62,22.27
Santa Catarina,42,2022,2024,53.08,33.17,51.50,44.73,6.11,8.57,-19.90,-6.77,2.46
Rio Grande do Sul,43,2018,2024,240.25,195.48,50.22,46.16,12.09,-6.20,-44.77,-4.06,-18.29
Mato Grosso do Sul,50,2022,2024,25.71,25.43,45.40,46.33,-6.21,-5.81,-0.27,0.93,0.40
Mato Grosso,51,2018,2024,48.88,-25.19,65.82,40.16,4.30,-13.84,-74.07,-25.66,-18.13
Goiás,52,2018,2024,93.36,29.50,44.91,45.86,-19.58,6.12,-63.87,0.95,25.69
Distrito Federal,53,2018,2024,36.91,22.97,45.54,42.68,-15.94,-2.92,-13.94,-2.85,13.01
