estado,governador,uf,partido
Acre,Gladson Cameli,AC,PP
Alagoas,Paulo Dantas,AL,MDB
Amapá,Clécio Luís,AP,SD
Amazonas,Wilson Lima,AM,UNIÃO
Bahia,Jerônimo Rodrigues,BA,PT
Ceará,Elmano de Freitas,CE,PT
Distrito Federal,Ibaneis Rocha,DF,MDB
Espírito Santo,Renato Casagrande,ES,PSB
Goiás,Ronaldo Caiado,GO,UNIÃO
Maranhão,Carlos Brandão,MA,PSB
Mato Grosso,Mauro Mendes,MT,UNIÃO
Mato Grosso do Sul,Eduardo Riedel,MS,PSDB
Minas Gerais,Romeu Zema,MG,NOVO
Pará,Helder Barbalho,PA,MDB
Paraíba,João Azevêdo,PB,PSB
Paraná,Ratinho Júnior,PR,PSD
Pernambuco,Raquel Lyra,PE,PSDB
Piauí,Rafael Fonteles,PI,PT
Rio de Janeiro,Cláudio Castro,RJ,PL
Rio Grande do Norte,Fátima Bezerra,RN,PT
Rio Grande do Sul,Eduardo Leite,RS,PSDB
Rondônia,Marcos Rocha,RO,UNIÃO
Roraima,Antonio Denarium,RR,PP
Santa Catarina,Jorginho Mello,SC,PL
São Paulo,Tarcísio de Freitas,SP,REP
Sergipe,Fábio Mitidieri,SE,PSD
Tocantins,Wanderlei Barbosa,TO,REP
